Release Date,Character,Rarity,Constellation Description,Word Count
2023-08-16,Lynette,4star,"When Enigmatic Feint's Enigma Thrust hits an opponent with Shadowsign, a vortex will be created at that opponent's position that will pull nearby opponents in. Whenever the Bogglecat Box summoned by Magic Trick: Astonishing Shift fires a Vivid Shot, it will fire an extra Vivid Shot. Increases the Level of Magic Trick: Astonishing Shift by 3. Maximum upgrade level is 15. Increases Enigmatic Feint's charges by 1. Increase the Level of Enigmatic Feint by 3. Maximum upgrade level is 15. When Lynette uses Enigmatic Feint's Enigma Thrust, she will gain an Anemo Infusion and 20% Anemo DMG Bonus for 6s.",100
2023-08-16,Lyney,5star,"Lyney can have 2 Grin-Malkin Hats present at once. Additionally, Prop Arrows will summon 2 Grin-Malkin Hats and grant Lyney 1 extra stack of Prop Surplus. This effect can occur once every 15s. When Lyney is on the field, he will gain a stack of Crisp Focus every 2s. This will increase his CRIT DMG by 20%. Max 3 stacks. This effect will be canceled when Lyney leaves the field. Increases the Level of Card Force Translocation by 3. Maximum upgrade level is 15. After an opponent is hit by Lyney's Pyro Charged Attack, this opponent's Pyro RES will be decreased by 20% for 6s. Increase the Level of Wondrous Trick: Miracle Parade by 3. Maximum upgrade level is 15. When Lyney fires a Prop Arrow, he will fire a Pyrotechnic Strike: Reprised that will deal 80% of a Pyrotechnic Strike's DMG. This DMG is considered Charged Attack DMG.",149
2023-03-21,Mika,4star,"The Soulwind state of Starfrost Swirl can decrease the healing interval between instances caused by Skyfeather Song's Eagleplume state. This decrease percentage is equal to the ATK SPD increase provided by Soulwind. When Starfrost Swirl's Flowfrost Arrow first hits an opponent, or its Rimestar Flare hits an opponent, 1 Detector stack from Passive Talent ""Suppressive Barrage"" will be generated. You must have unlocked the Passive Talent ""Suppressive Barrage"" first. Increases the Level of Skyfeather Song by 3. Maximum upgrade level is 15. When Mika's own Skyfeather Song's Eagleplume state heals party members, this will restore 3 Energy to Mika. This form of Energy restoration can occur 5 times during the Eagleplume state created by 1 use of Skyfeather Song. Increase the Level of Starfrost Swirl by 3. Maximum upgrade level is 15. The maximum number of Detector stacks that Starfrost Swirl's Soulwind can gain is increased by 1. You need to have unlocked the Passive Talent ""Suppressive Barrage"" first. Additionally, active characters affected by Soulwind will deal 60% more Physical CRIT DMG.",172
2022-11-02,Nahida,5star,"When the Shrine of Maya is unleashed and the Elemental Types of the party members are being tabulated, the count will add 1 to the number of Pyro, Electro, and Hydro characters respectively. Opponents that are marked by Seeds of Skandha applied by Nahida herself will be affected by the following effects: Burning, Bloom, Hyperbloom, and Burgeon Reaction DMG can score CRIT Hits. CRIT Rate and CRIT DMG are fixed at 20% and 100% respectively. Within 8s of being affected by Quicken, Aggravate, Spread, DEF is decreased by 30%. Increases the Level of All Schemes to Know by 3. Maximum upgrade level is 15. When 1/2/3/(4 or more) nearby opponents are affected by All Schemes to Know's Seeds of Skandha, Nahida's Elemental Mastery will be increased by 100/120/140/160. Increase the Level of Illusory Heart by 3. Maximum upgrade level is 15. When Nahida hits an opponent affected by All Schemes to Know's Seeds of Skandha with Normal or Charged Attacks after unleashing Illusory Heart, she will use Tri-Karma Purification: Karmic Oblivion on this opponent and all connected opponents, dealing Dendro DMG based on 200% of Nahida's ATK and 400% of her Elemental Mastery. DMG dealt by Tri-Karma Purification: Karmic Oblivion is considered Elemental Skill DMG and can be triggered once every 0.2s. This effect can last up to 10s and will be removed after Nahida has unleashed 6 instances of Tri-Karma Purification: Karmic Oblivion.",234
2023-12-20,Navia,5star,"Each stack of Crystal Shrapnel consumed when Navia uses Ceremonial Crystalshot will restore 3 Energy to her and decrease the CD of As the Sunlit Sky's Singing Salute by 1s. Up to 9 Energy can be gained this way, and the CD of ""As the Sunlit Sky's Singing Salute"" can be decreased by up to 3s. Each stack of Crystal Shrapnel consumed will increase the CRIT Rate of this Ceremonial Crystalshot instance by 12%. CRIT Rate can be increased by up to 36% in this way. In addition, when Ceremonial Crystalshot hits an opponent, one Cannon Fire Support shot from As the Sunlit Sky's Singing Salute will strike near the location of the hit. Up to one instance of Cannon Fire Support can be triggered each time Ceremonial Crystalshot is used, and DMG dealt by said Cannon Fire Support this way is considered Elemental Burst DMG. Increases the Level of Ceremonial Crystalshot by 3. Maximum upgrade level is 15. When As the Sunlit Sky's Singing Salute hits an opponent, that opponent's Geo RES will be decreased by 20% for 8s. Increases the Level of As the Sunlit Sky's Singing Salute by 3. Maximum upgrade level is 15. If more than 3 stacks of Crystal Shrapnel are consumed when using Ceremonial Crystalshot, each stack consumed beyond the first 3 increases the CRIT DMG of that Ceremonial Crystalshot by 45%, and any stacks consumed beyond the first 3 are returned to Navia.",240
2023-09-27,Neuvillette,5star,"When Neuvillette takes the field, he will obtain 1 stack of Past Draconic Glories from the Passive Talent ""Heir to the Ancient Sea's Authority."" You must first unlock the Passive Talent ""Heir to the Ancient Sea's Authority."" Additionally, his interruption resistance will be increased while using the Charged Attack Empowerment: Legal Evaluation and the Charged Attack: Equitable Judgment. The Passive Talent ""Heir to the Ancient Sea's Authority"" will be enhanced: Each stack of Past Draconic Glories will increase the CRIT DMG of Charged Attack: Equitable Judgment by 14%. The maximum increase that can be achieved this way is 42%. You must first unlock the Passive Talent ""Heir to the Ancient Sea's Authority."" Increases the Level of Normal Attack: As Water Seeks Equilibrium by 3. Maximum upgrade level is 15. When Neuvillette is on the field and is healed, 1 Sourcewater Droplet will be generated. This effect can occur once every 4s. Increases the Level of O Tides, I Have Returned by 3. Maximum upgrade level is 15. When using Charged Attack: Equitable Judgment, Neuvillette can absorb nearby Sourcewater Droplets in an AoE. Each absorbed Droplet will increase the duration of Charged Attack: Equitable Judgment by 1s. Additionally, when Equitable Judgment hits opponents, it will fire off 2 additional currents every 2s, each of which will deal 10% of Neuvillette's Max HP as Hydro DMG. DMG dealt this way will count as DMG dealt by Equitable Judgment.",236
2022-10-14,Nilou,5star,"Dance of Haftkarsvar will be enhanced as follows: Luminous Illusion DMG is increased by 65%. The Tranquility Aura's duration is extended by 6s. After characters affected by the Golden Chalice's Bounty deal Hydro DMG to an opponent, that opponent's Hydro RES will be decreased by 35% for 10s. After a triggered Bloom reaction deals DMG to opponents, their Dendro RES will be decreased by 35% for 10s. You need to have unlocked the ""Court of Dancing Petals"" Talent. Increases the Level of Dance of Abzendegi: Distant Dreams, Listening Spring by 3. Maximum upgrade level is 15. After the third dance step of Dance of Haftkarsvar's Pirouette hits opponents, Nilou will gain 15 Elemental Energy, and DMG from her Dance of Abzendegi: Distant Dreams, Listening Spring will be increased by 50% for 8s. Increase the Level of Dance of Haftkarsvar by 3. Maximum upgrade level is 15. For every 1,000 points of Max HP, Nilou's CRIT Rate and CRIT DMG will increase by 0.6% and 1.2% respectively. The maximum increase in CRIT Rate and CRIT DMG via this method is 30% and 60% respectively.",183
2021-09-01,Raiden,5star,"Chakra Desiderata will gather Resolve even faster. When Electro characters use their Elemental Bursts, the Resolve gained is increased by 80%. When characters of other Elemental Types use their Elemental Bursts, the Resolve gained is increased by 20%. Secret Art: Musou Shinsetsu's Musou no Hitotachi and Musou Isshin attacks will ignore 60% of opponents' DEF. Increases the Level of Secret Art: Musou Shinsetsu by 3. Maximum upgrade level is 15. When the Musou Isshin state applied by Secret Art: Musou Shinsetsu expires, all nearby party members (excluding the Raiden Shogun) gain 30% bonus ATK for 10s. Increase the Level of Transcendence: Baleful Omen by 3. Maximum upgrade level is 15. While in the Musou Isshin state applied by Secret Art: Musou Shinsetsu, the Raiden Shogun's Normal, Charged, and Plunging Attacks will decrease all nearby party members' (but not including the Raiden Shogun herself) Elemental Burst CD by 1s when they hit opponents. This effect can trigger once every 1s, and can trigger a total of 5 times during the state's duration.",171
2021-04-07,Rosaria,4star,"When Rosaria deals a CRIT Hit, her ATK SPD increases by 10% and her Normal Attack DMG increases by 10% for 4s. The duration of the Ice Lance created by Rites of Termination is increased by 4s. Increases the Level of Ravaging Confession by 3. Maximum upgrade level is 15. Ravaging Confession's CRIT Hits regenerate 5 Energy for Rosaria. Can only be triggered once each time Ravaging Confession is cast. Increase the Level of Rites of Termination by 3. Maximum upgrade level is 15. Rites of Termination's attack decreases opponents' Physical RES by 20% for 10s.",96
2021-09-01,Sara,4star,"When Tengu Juurai grant characters ATK Bonuses or hits opponents, the CD of Tengu Stormcall is decreased by 1s. This effect can be triggered once every 3s. Unleashing Tengu Stormcall will leave a weaker Crowfeather at Kujou Sara's original position that will deal 30% of its original DMG. Increases the Level of Subjugation: Koukou Sendou by 3. Maximum upgrade level is 15. The number of Tengu Juurai: Stormcluster released by Subjugation: Koukou Sendou is increased to 6. Increase the Level of Tengu Stormcall by 3. Maximum upgrade level is 15. The Electro DMG of characters who have had their ATK increased by Tengu Juurai has its Crit DMG increased by 60%.",111
2021-08-10,Sayu,4star,"The Muji-Muji Daruma created by Yoohoo Art: Mujina Flurry will ignore HP limits and can simultaneously attack nearby opponents and heal characters. Yoohoo Art: Fuuin Dash gains the following effects: DMG of Fuufuu Whirlwind Kick in Tapping (mobile)/Press (PC & PlayStation) Mode increased by 3.3%. Every 0.5s in the Fuufuu Windwheel state will increase the DMG of this Fuufuu Whirlwind Kick by 3.3%. The maximum DMG increase possible through this method is 66%. Increases the Level of Yoohoo Art: Mujina Flurry by 3. Maximum upgrade level is 15. Sayu recovers 1.2 Energy when she triggers a Swirl reaction. This effect occurs once every 2s. Increase the Level of Yoohoo Art: Fuuin Dash by 3. Maximum upgrade level is 15. The Muji-Muji Daruma created by Sayu's Yoohoo Art: Mujina Flurry will now also benefit from her Elemental Mastery. Each point of Sayu's Elemental Mastery will produce the following effects: Increases the damage dealt by the Muji-Muji Daruma's attacks by 0.2% ATK. A maximum of 400% ATK can be gained via this method. Increases the HP restored by the Muji-Muji Daruma by 3. A maximum of 6,000 additional HP can be restored in this manner.",193
2022-01-05,Shenhe,5star,"Spring Spirit Summoning can be used 1 more time. Divine Maiden's Deliverance lasts for 6 seconds longer. Active characters within the skill's field deals 15% increased Cryo CRIT DMG. Increases the Level of Spring Spirit Summoning by 3. Maximum upgrade level is 15. When characters under the effect of Icy Quill applied by Shenhe triggers its DMG Bonus effects, Shenhe will gain a Skyfrost Mantra stack: When Shenhe uses Spring Spirit Summoning, she will consume all stacks of Skyfrost Mantra, increasing the DMG of that Spring Spirit Summoning by 5% for each stack consumed. Max 50 stacks. Stacks last for 60s. Increase the Level of Divine Maiden's Deliverance by 3. Maximum upgrade level is 15. When characters trigger Icy Quill's effects using Normal and Charged Attack DMG, it does not count toward the Trigger Quota.",135
2020-11-11,childe,5star,"Decreases the CD of Foul Legacy: Raging Tide by 20%. When opponents affected by Riptide are defeated, Tartaglia regenerates 4 Elemental Energy. Increases the Level of Foul Legacy: Raging Tide by 3. Maximum upgrade level is 15. If Tartaglia is in Foul Legacy: Raging Tide's Melee Stance, triggers Riptide Slash against opponents on the field affected by Riptide every 4s, otherwise, triggers Riptide Flash. Riptide Slashes and Riptide Flashes triggered by this Constellation effect are not subject to the time intervals that would typically apply to these two Riptide effects, nor do they have any effect on those time intervals. Increase the Level of Havoc: Obliteration by 3. Maximum upgrade level is 15. When Havoc: Obliteration is cast in Melee Stance, the CD of Foul Legacy: Raging Tide is reset. This effect will only take place once Tartaglia returns to his Ranged Stance.",143
2021-11-02,Thoma,4star,"When a character protected by Thoma's own Blazing Barrier (Thoma excluded) is attacked, Thoma's own Blazing Blessing CD is decreased by 3s, while his own Crimson Ooyoroi's CD is decreased by 3s. This effect can be triggered once every 20s. Crimson Ooyoroi's duration is increased by 3s. Increases the Level of Blazing Blessing by 3. Maximum upgrade level is 15. After using Crimson Ooyoroi, 15 Energy will be restored to Thoma. Increase the Level of Crimson Ooyoroi by 3. Maximum upgrade level is 15. When a Blazing Barrier is obtained or refreshed, the DMG dealt by all party members' Normal, Charged, and Plunging Attacks is increased by 15% for 6s.",110
2022-08-24,Tighnari,5star,"Tighnari's Charged Attack CRIT Rate is increased by 15%. When there are opponents within the Vijnana-Khanda Field created by Vijnana-Phala Mine, Tighnari gains 20% Dendro DMG Bonus. The effect will last up to 6s if the field's duration ends or if it no longer has opponents within it. Increases the Level of Fashioner's Tanglevine Shaft by 3. Maximum upgrade level is 15. When Fashioner's Tanglevine Shaft is unleashed, all nearby party members gain 60 Elemental Mastery for 8s. If the Fashioner's Tanglevine Shaft triggers a Burning, Bloom, Quicken, or Spread reaction, their Elemental Mastery will be further increased by 60. This latter case will also refresh the buff state's duration. Increase the Level of Vijnana-Phala Mine by 3. Maximum upgrade level is 15. Wreath Arrow's charging time is decreased by 0.9s, and will produce 1 additional Clusterbloom Arrow upon hit. This arrow deals 150% of Tighnari's ATK as DMG.",149
2020-09-27,Venti,5star,"Fires 2 additional arrows per Aimed Shot, each dealing 33% of the original arrow's DMG. Skyward Sonnet decreases enemy Anemo RES by 12% for 10s. Enemies launched by Skyward Sonnet suffer an additional 12% Anemo RES and Physical RES decrease while airborne. Increases the Level of Wind's Grand Ode by 3. Maximum upgrade level is 15. When Venti picks up an Elemental Orb or Particle, he receives a 25% Anemo DMG Bonus for 10s. Increase the Level of Skyward Sonnet by 3. Maximum upgrade level is 15. Targets who take DMG from Wind's Grand Ode have their Anemo RES decreased by 20%. If an Elemental Absorption occurred, then their RES towards the corresponding Element is also decreased by 20%.",119
2022-12-07,Wanderer,5star,"When in the Windfavored state, the Attack SPD of the Wanderer's Kuugo: Fushoudan and Kuugo: Toufukai is increased by 10%. Additionally, the wind arrows fired by the Passive Talent ""Gales of Reverie"" will deal an additional 25% of his ATK as DMG. You must unlock the Passive Talent ""Gales of Reverie"" first. When in the Windfavored state, Kyougen: Five Ceremonial Plays will see its DMG increased by 4% per point of difference between the max amount of Kuugoryoku Points contrasted with Kuugoryoku's present capacity when using this skill. Through this method, you can increase Kyougen: Five Ceremonial Plays's DMG by a maximum of 200%. Increases the Level of Kyougen: Five Ceremonial Plays by 3. Maximum upgrade level is 15. When casting Hanega: Song of the Wind, should the Passive Talent ""Jade-Claimed Flower"" be triggered, the character will gain buffs in correspondence to the contacted Elemental Type(s), and also obtain a random untriggered buff. A maximum of 3 such corresponding elemental buffs can exist simultaneously. You must unlock the Passive Talent ""Jade-Claimed Flower"" first. Increase the Level of Hanega: Song of the Wind by 3. Maximum upgrade level is 15. When the Wanderer actively hits an opponent with Kuugo: Fushoudan while in the Windfavored state, the following effects will occur: Deals an additional instance of Kuugo: Fushoudan at the position hit, dealing 40% of the attack's original DMG. This DMG will be considered Normal Attack DMG. When the Wanderer falls below 40 Kuugoryoku Points, restores 4 Points to him. Kuugoryoku Points can be restored in this manner once every 0.2s. This restoration can occur up to 5 times within one Windfavored duration.",271
2023-10-17,Wriothesley,5star,"The Gracious Rebuke from the Passive Talent ""There Shall Be a Plea for Justice"" is changed to this: When Wriothesley's HP is less than 60% or while he is in the Chilling Penalty state caused by Icefang Rush, when the fifth attack of Repelling Fists hits, it will create a Gracious Rebuke. 1 Gracious Rebuke effect can be obtained every 2.5s. Additionally, Rebuke: Vaulting Fist will obtain the following enhancement: The DMG Bonus gained will be further increased to 200%. When it hits while Wriothesley is in the Chilling Penalty state, that state's duration is extended by 4s. 1 such extension can occur per 1 Chilling Penalty duration. You must first unlock the Passive Talent ""There Shall Be a Plea for Justice."" When using Darkgold Wolfbite, each Prosecution Edict stack from the Passive Talent ""There Shall Be a Reckoning for Sin"" will increase said ability's DMG dealt by 40%. You must first unlock the Passive Talent ""There Shall Be a Reckoning for Sin."" Increases the Level of Normal Attack: Forceful Fists of Frost by 3. Maximum upgrade level is 15. The HP restored to Wriothesley through Rebuke: Vaulting Fist will be increased to 50% of his Max HP. You must first unlock the Passive Talent ""There Shall Be a Plea for Justice."" Additionally, when Wriothesley is healed, if the amount of healing overflows, the following effects will occur depending on whether he is on the field or not. If he is on the field, his ATK SPD will be increased by 20% for 4s. If he is off-field, all of your own party members' ATK SPD will be increased by 10% for 6s. These two methods of increasing ATK SPD cannot stack. Increases the Level of Darkgold Wolfbite by 3. Maximum upgrade level is 15. The CRIT Rate of Rebuke: Vaulting Fist will be increased by 10%, and its CRIT DMG by 80%. When unleashed, it will also create an additional icicle that deals 100% of Rebuke: Vaulting Fist's Base DMG as Cryo DMG. DMG dealt this way is regarded as Charged Attack DMG. You must first unlock the Passive Talent ""There Shall Be a Plea for Justice.""",358
2024-01-31,Xianyun,5star,"White Clouds at Dawn gains 1 additional charge. After using a Skyladder from White Clouds at Dawn, Xianyun's ATK will be increased by 20% for 15s. Additionally, the effects of the Passive Talent ""Consider, the Adeptus in Her Realm"" will be enhanced: When the Starwicker created by Stars Gather at Dusk has Adeptal Assistance stacks, nearby active characters' Plunging Attack shockwave DMG will be increased by 400% of Xianyun's ATK. The maximum DMG increase that can be achieved this way is 18,000. Each Plunging Attack shockwave DMG instance can only apply this increased DMG effect to a single opponent. Each character can trigger this effect once every 0.4s. You must first unlock the Passive Talent ""Consider, the Adeptus in Her Realm."" Increases the Level of Stars Gather at Dusk by 3. Maximum upgrade level is 15. After using Skyladder 1/2/3 times during one White Clouds at Dawn Cloud Transmogrification state, when a Driftcloud Wave unleashed during that instance hits an opponent, it will heal all nearby party members for 50%/80%/150% of Xianyun's ATK. This effect can be triggered once every 5s. Increases the Level of White Clouds at Dawn by 3. Maximum upgrade level is 15. After Xianyun uses 1/2/3 Skyladders within one Cloud Transmogrification caused by White Clouds at Dawn, the CRIT DMG of a Driftcloud Wave created in this instance of Cloud Transmogrification will be increased by 15%/35%/70%. Within 16s after Xianyun has used Stars Gather at Dusk, White Clouds at Dawn will not enter CD. This effect will be canceled once she has used White Clouds at Dawn 8 times.",263
2021-02-03,Xiao,5star,"Increases Lemniscatic Wind Cycling's charges by 1. When in party but not on the field, Xiao's Energy Recharge is increased by 25%. Increases the Level of Lemniscatic Wind Cycling by 3. Maximum upgrade level is 15. When Xiao's HP falls below 50%, he gains a 100% DEF Bonus. Increase the Level of Bane of All Evil by 3. Maximum upgrade level is 15. While under the effects of Bane of All Evil, hitting at least 2 opponents with Xiao's Plunging Attack will immediately grant him 1 charge of Lemniscatic Wind Cycling and for the next 1s, he may use Lemniscatic Wind Cycling while ignoring its CD.",106
2020-12-01,Xinyan,4star,"Upon scoring a CRIT hit, increases ATK SPD of Xinyan's Normal and Charged Attacks by 12% for 5s. Can only occur once every 5s. Riff Revolution Physical DMG has its Crit rate increased by 100%, and will form a shield at Shield Level 3: Rave when cast. Increases the Level of Sweeping Fervor by 3. Maximum upgrade level is 15. Sweeping Fervor's swing DMG decrease opponents Physical RES by 15% for 12s. Increases the Level of Riff Revolution by 3. Maximum upgrade level is 15. Decrease the stamina consumption of Xinyan Charged Attacks by 30%. Additionally, Xinyan Charged Attack gain an ATK bonus equal to 50% of her DEF.",109
2022-02-16,Yae Miko,5star,"Each time Great Secret Art: Tenko Kenshin activates a Tenko Thunderbolt, Yae Miko will restore 8 Elemental Energy for herself. Sesshou Sakura start at Level 2 when created, their max level is increased to 4, and their attack range is increased by 60%. Increases the Level of Yakan Evocation: Sesshou Sakura by 3. Maximum upgrade level is 15. When Sesshou Sakura lightning hits opponents, the Electro DMG Bonus of all nearby party members is increased by 20% for 5s. Increases the Level of Great Secret Art: Tenko Kenshin by 3. Maximum upgrade level is 15. The Sesshou Sakura's attacks will ignore 60% of the opponent's DEF.",106
2021-04-28,Yanfei,4star,"When Yanfei uses her Charged Attacks,each existing Scarlet Seal additionally reduces the stamina cost of this Charged Attack by 10% and increases resistance against interruption during its release. Increases Yanfei's Charged Attack CRIT rate by 20% against enemies below 50% HP. Increases the Level of Signed Edict by 3. Maximum upgrade level is 15. When Done Deal is used: Creates a shield which absorbes upto 45% of Yanfei's Max HP for 15s. This shield absorbes Pyro DMG 250% more efficiently. Increases the Level of Done Deal by 3. Maximum upgrade level is 15. Increases the maximum number of Scarlet Seals by 1.",102
2023-01-18,Yaoyao,4star,"When White Jade Radishes explode, active characters within their AoE will gain 15% Dendro DMG Bonus for 8s and have 15 Stamina restored to them. This form of Stamina Restoration can only be triggered every 5s. While affected by the Adeptal Legacy state caused by Moonjade Descent, if White Jade Radish explosions damage opponents, 3 Energy will be restored to Yaoyao. This form of Energy regeneration can occur once every 0.8s. Increases the Raphanus Sky Cluster by 3. Maximum upgrade level is 15. After using Raphanus Sky Cluster or Moonjade Descent, Yaoyao's Elemental Mastery will be increased based on 0.3% of her Max HP for 8s. The maximum Elemental Mastery she can gain this way is 120. Increases the Moonjade Descent by 3. Maximum upgrade level is 15. For every 2 White Jade Radishes Yuegui: Throwing Mode throws out, it will also throw a Mega Radish that will have a larger AoE than the standard White Jade Radish and have the following effects upon exploding: Deals AoE Dendro DMG based on 75% of Yaoyao's ATK. Restores HP for the active character based on 7.5% of Yaoyao's Max HP. Every Yuegei: Throwing Mode can throw out a maximum of 2 Mega Radishes.",201
2022-05-31,Yelan,5star,"Lingering Lifeline gains 1 additional charge. When Exquisite Throw conducts a coordinated attack, it will fire an additional water arrow that will deal 14% of Yelan's Max HP as Hydro DMG. Increases the Level of Depth-Clarion Dice by 3. Maximum upgrade level is 15. Increases all party members' Max HP by 10% for 25s for every opponent marked by Lifeline when the Lifeline explodes. A maximum increase of 40% Max HP can be attained in this manner. Increases the Level of Lingering Lifeline by 3. Maximum upgrade level is 15. After using Depth-Clarion Dice, Yelan will enter the Mastermind state. In this state, all of Yelan's Normal Attacks will be special Breakthrough Barbs. These Breakthrough Barbs will have similar abilities to normal ones and the DMG dealt will be considered Charged Attack DMG, dealing 156% of a normal Breakthrough Barb's DMG. The Mastermind state lasts 20s and will be cleared after Yelan fires 5 arrows.",155
2021-08-10,Yoimiya,5star,"The Auros Blaze created by Ryuukin Saxifrage lasts for an extra 4s. Additionally, when an opponent affected by Aurous Blaze is defeated within its duration, Yoimiya's ATK is increased by 20% for 20s. When Yoimiya's Pyro DMG scores a CRIT Hit, Yoimiya will gain a 25% Pyro DMG Bonus for 6s. This effect can be triggered even when Yoimiya is not the active character. Increases the Level of Niwabi Fire-Dance by 3. Maximum upgrade level is 15. When Yoimiya's own Aurous Blaze triggers an explosion, Niwabi Fire-Dance's CD is decreased by 1.2. Increases the Level of Ryuukin Saxifrage by 3. Maximum upgrade level is 15. During Niwabi Fire-Dance, Yoimiya's Normal Attacks have a 50% chance of firing an extra Kindling Arrow that deals 60% of its original DMG. This DMG is considered Normal Attack DMG.",135
2022-01-05,Yun Jin,4star,"Opening Flourish's CD is decreased by 18%. After Cliffbreaker's Banner is unleashed, all nearby party members' Normal Attack DMG is increased by 15% for 12s. Increases the Level of Cliffbreaker's Banner by 3. Maximum upgrade level is 15. When Yun Jin triggers the Crystallize Reaction, her DEF is increased by 20% for 12s. Increases the Level of Opening Flourish by 3. Maximum upgrade level is 15. Characters under the effects of the Flying Cloud Flag Formation have their Normal ATK SPD increased by 12%.",84
2020-12-01,Zhongli,5star,"Increases the maximum number of Stone Steles created by Dominus Lapidis that may exist simultaneously to 2. Planet Befall grants nearby characters on the field a Jade Shield when it descends. Increases the Level of Dominus Lapidis by 3. Maximum upgrade level is 15. Increases Planet Befall's AoE by 20% and increases the duration of Planet Befall's Petrification effect by 2s. Increase the Level of Planet Befall by 3. Maximum upgrade level is 15. When the Jade Shield takes DMG, 40% of that incoming DMG is converted to HP for the current character. A single instance of regeneration cannot exceed 8% of that character's Max HP.",106
2020-09-28,xingqiu,4star,"Increases the maximum number of Rain Swords by 1. Extends the duration of Guhua Sword - Raincutter by 3s. Decreases the Hydro RES of enemies hit by sword rain attacks by 15% for 4s. Increases the Level of Guhua Sword - Raincutter by 3. Maximum upgrade level is 15. Throughout the duration of Guhua Sword: Raincutter, the DMG dealt by Guhua Sword: Fatal Rainscreen is increased by 50%. Increase the Level of Guhua Sword - Fatal Rainscreen by 3. Maximum upgrade level is 15. Activating 2 of Guhua Sword - Raincutter's sword rain attacks greatly increases the DMG of the third. Xingqiu regenerates 3 Energy when sword rain attacks hit enemies.",111
2020-09-28,fischl,4star,"Even when Oz is not present in combat, he can still watch over Fischl through his raven eyes. When Fischl attacks an enemy, Oz fires a joint attack, dealing 22% of ATK DMG. When Nightrider is used, it deals an additional 200% ATK as DMG, and its AoE is increased by 50%. Increases the Level of Nightrider by 3. Maximum upgrade level is 15. When Midnight Phatasmagoria is used, it deals 222% of ATK as Electro DMG to surrounding enemies. When the skill duration ends, Fischl regenerates 20% of her HP. Increase the Level of Midnight Phantasmagoria by 3. Maximum upgrade level is 15. Increases the duration of Oz's summoning by 2s. Additionally, Oz attacks with the current character when present, dealing 30% of Fischl's ATK as Electro DMG.",129
2020-09-28,barbara,4star,"Barbara regenerates 1 Energy every 10s. Decreases the CD of Let the Show Begin by 15%. During the ability's duration, the current character gains 15% Hydro DMG Bonus. Increases the Level of Shining Miracle by 3. Maximum upgrade level is 15. Every enemy hit by Barbara's Charged Attack regenerates 1 Energy for her. A maximum of 5 energy can be regenerated in this manner with any one Charged Attack. Increase the Level of Let the Show Begin by 3. Maximum upgrade level is 15. When Barbara is not on the field, and the character in play falls: Automatically revives this character. Fully regenerates this characters HP by 100%. This effect can only occur once every 15 mins.",117
2020-09-28,amber,4star,"Fires 2 arrows per Aimed Shot. The second arrow deals 20% of the first arrow's DMG. Baron Bunny, new and improved! Hitting Baron Bunny's foot with a fully-charged Aimed Shot manually detonates it. Explosion via manual detonation deals 200% additional DMG. Increases the Level of Fiery Rain by 3. Maximum upgrade level is 15. Decreases Explosive Puppet's CD by 20%. Adds 1 additional charge. Increase the Level of Explosive Puppet by 3. Maximum upgrade level is 15. Fiery Rain increases Amber's Movement SPD by 15% and Base ATK by 15% for 10s.",92
2020-09-28,ningguang,4star,"When a Normal Attack hits, it deals AoE DMG. When Jade Screen is shattered, its CD will reset. Can occur once every 6s. Increases the Level of Starshatter by 3. Maximum upgrade level is 15. Jade Screen increases nearby characters' Elemental RES by 10%. Increase the Level of Jade Screen by 3. Maximum upgrade level is 15. When Starshatter is used, Ningguang gains 7 Star Jades.",66
2020-09-28,bennett,4star,"Fantastic Voyage's ATK increases no longer has an HP restriction, and gains an additional 20% Base ATK. When Bennett's HP falls below 70%, his Energy Recharge is increased by 30%. Increases the Level of Passion Overload by 3. Maximum upgrade level is 15. Using a Normal Attack when executing the second attack of Passion Overload's Charge Level 1 allows an additional attack to be performed. This additional attack does 135% of the second attack's DMG. Increase the Level of Fantastic Voyage by 3. Maximum upgrade level is 15. Sword, Claymore, or Polearm-wielding characters inside Fantastic Voyage's radius gain a 15% Pyro DMG Bonus. Normal and Charged Attacks now do Pyro DMG.",111
2020-09-28,kaeya,4star,"The CRIT Rate of Normal Attack and Charged Attack DMG against enemies affected by the Cold or Frozen status effects is increased by 15%. Every time Glacial Waltz defeats an enemy, its duration is increased by 2.5s, up to a maximum of 15s. Increases the Level of Frostgnaw by 3. Maximum upgrade level is 15. Triggers automatically when Kaeya's HP falls below 20%: Creates a shield that absorbs damage equal to 30% of Kaeya's Max HP. Lasts for 20s. This shield absorbs Cryo DMG with 250% efficiency. Can only occur once every 60s. Increase the Level of Glacial Waltz by 3. Maximum upgrade level is 15. Glacial Waltz will generate 1 additional icicle, and will regenerate 15 Energy when cast.",120
2020-09-28,sucrose,4star,"Astable Anemohypostasis Creation - 6308 gains 1 additional charge. The duration of Forbidden Creation - Isomer 75 / Type II is increased by 2s. Increases the Level of Astable Anemohypostasis Creation - 6308 by 3. Maximum upgrade level is 15. Every 7 Normal and Charged Attacks, Sucrose will reduce the CD of Astable Anemohypostasis Creation - 6308 by 1-7s. Increase the Level of Forbidden Creation - Isomer 75 / Type II by 3. Maximum upgrade level is 15. If Forbidden Creation - Isomer 75 / Type II triggers an Elemental Absorption, all party members gain a 20% Elemental DMG Bonus for the corresponding absorbed element during its duration.",108
